Product Type,Manufacturer name,Manufacturer shipping cost,Manufacturer shipping time,Manufacturer transport mode,Manufacturer routes ,Manufacturer destinations,Product ID,Manufacturer cost,Manufacturer defect rates
Tablet,Manufacturer 3,4.32,2,rail,Route 12,Distributor 3,65046f7afc13ae03cdfd5aaa,165,0.5
Phone,Manufacturer 3,9.3,10,road,Route 15,Distributor 4,65046f7afc13ae03cdfd5aab,133,0.4
Laptop,Manufacturer 3,8.15,1,sea,Route 14,Distributor 4,65046f7afc13ae03cdfd5aac,480,0.4
Tablet,Manufacturer 2,4.57,1,sea,Route 13,Distributor 2,65046f7afc13ae03cdfd5aad,170,1.0
Phone,Manufacturer 2,4.34,3,rail,Route 15,Distributor 3,65046f7afc13ae03cdfd5aae,120,0.3
Laptop,Manufacturer 3,7.29,5,air,Route 16,Distributor 4,65046f7afc13ae03cdfd5aaf,480,0.4
Tablet,Manufacturer 3,5.53,12,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5ab0,165,0.5
Phone,Manufacturer 2,3.68,11,air,Route 12,Distributor 2,65046f7afc13ae03cdfd5ab1,120,0.3
Laptop,Manufacturer 2,4.03,9,sea,Route 13,Distributor 3,65046f7afc13ae03cdfd5ab2,400,0.1
Tablet,Manufacturer 3,8.26,4,sea,Route 13,Distributor 4,65046f7afc13ae03cdfd5ab3,165,0.5
Phone,Manufacturer 1,8.91,2,air,Route 16,Distributor 4,65046f7afc13ae03cdfd5ab4,100,0.6
Laptop,Manufacturer 1,5.11,3,road,Route 15,Distributor 1,65046f7afc13ae03cdfd5ab5,470,0.8
Tablet,Manufacturer 2,3.4,1,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5ab6,170,1.0
Phone,Manufacturer 1,7.61,12,rail,Route 11,Distributor 1,65046f7afc13ae03cdfd5ab7,100,0.6
Laptop,Manufacturer 1,9.61,1,road,Route 12,Distributor 1,65046f7afc13ae03cdfd5ab8,470,0.8
Tablet,Manufacturer 3,3.83,9,air,Route 11,Distributor 4,65046f7afc13ae03cdfd5ab9,165,0.5
Phone,Manufacturer 2,6.43,11,air,Route 16,Distributor 1,65046f7afc13ae03cdfd5aba,120,0.3
Laptop,Manufacturer 3,3.31,2,rail,Route 12,Distributor 3,65046f7afc13ae03cdfd5abb,480,0.4
Tablet,Manufacturer 2,4.22,11,rail,Route 11,Distributor 2,65046f7afc13ae03cdfd5abc,170,1.0
Phone,Manufacturer 2,4.26,5,air,Route 12,Distributor 3,65046f7afc13ae03cdfd5abd,120,0.3
Laptop,Manufacturer 3,6.47,8,air,Route 11,Distributor 2,65046f7afc13ae03cdfd5abe,480,0.4
Tablet,Manufacturer 2,6.28,9,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5abf,170,1.0
Phone,Manufacturer 1,4.81,3,road,Route 15,Distributor 3,65046f7afc13ae03cdfd5ac0,100,0.6
Laptop,Manufacturer 1,6.45,1,sea,Route 14,Distributor 1,65046f7afc13ae03cdfd5ac1,470,0.8
Tablet,Manufacturer 1,6.18,2,road,Route 11,Distributor 4,65046f7afc13ae03cdfd5ac2,160,0.1
Phone,Manufacturer 3,5.98,10,road,Route 15,Distributor 4,65046f7afc13ae03cdfd5ac3,133,0.4
Laptop,Manufacturer 3,3.89,9,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5ac4,480,0.4
Tablet,Manufacturer 1,9.53,6,road,Route 15,Distributor 3,65046f7afc13ae03cdfd5ac5,160,0.1
Phone,Manufacturer 2,7.86,1,road,Route 11,Distributor 1,65046f7afc13ae03cdfd5ac6,120,0.3
Laptop,Manufacturer 2,6.98,3,sea,Route 13,Distributor 2,65046f7afc13ae03cdfd5ac7,400,0.1
Tablet,Manufacturer 1,8.32,12,sea,Route 14,Distributor 4,65046f7afc13ae03cdfd5ac8,160,0.1
Phone,Manufacturer 1,7.6,4,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5ac9,100,0.6
Laptop,Manufacturer 1,9.53,8,rail,Route 15,Distributor 4,65046f7afc13ae03cdfd5aca,470,0.8
Tablet,Manufacturer 1,4.42,5,road,Route 12,Distributor 4,65046f7afc13ae03cdfd5acb,160,0.1
Phone,Manufacturer 1,5.38,7,air,Route 12,Distributor 3,65046f7afc13ae03cdfd5acc,100,0.6
Laptop,Manufacturer 3,4.29,4,air,Route 13,Distributor 2,65046f7afc13ae03cdfd5acd,480,0.4
Tablet,Manufacturer 2,5.67,12,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5ace,170,1.0
Phone,Manufacturer 3,9.25,11,air,Route 13,Distributor 4,65046f7afc13ae03cdfd5acf,133,0.4
Laptop,Manufacturer 1,6.95,11,air,Route 12,Distributor 4,65046f7afc13ae03cdfd5ad0,470,0.8
Tablet,Manufacturer 3,5.56,12,road,Route 15,Distributor 1,65046f7afc13ae03cdfd5ad1,165,0.5
Phone,Manufacturer 1,4.8,5,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5ad2,100,0.6
Laptop,Manufacturer 1,3.7,7,rail,Route 12,Distributor 3,65046f7afc13ae03cdfd5ad3,470,0.8
Tablet,Manufacturer 1,4.08,4,air,Route 16,Distributor 4,65046f7afc13ae03cdfd5ad4,160,0.1
Phone,Manufacturer 2,4.72,9,sea,Route 16,Distributor 1,65046f7afc13ae03cdfd5ad5,120,0.3
Laptop,Manufacturer 1,3.14,2,air,Route 13,Distributor 1,65046f7afc13ae03cdfd5ad6,470,0.8
Tablet,Manufacturer 1,3.77,2,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5ad7,160,0.1
Phone,Manufacturer 1,7.69,6,sea,Route 14,Distributor 1,65046f7afc13ae03cdfd5ad8,100,0.6
Laptop,Manufacturer 2,5.01,12,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5ad9,400,0.1
Tablet,Manufacturer 1,5.34,5,rail,Route 15,Distributor 2,65046f7afc13ae03cdfd5ada,160,0.1
Phone,Manufacturer 3,3.78,7,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5adb,133,0.4
Laptop,Manufacturer 2,7.78,3,road,Route 11,Distributor 3,65046f7afc13ae03cdfd5adc,400,0.1
Tablet,Manufacturer 2,6.34,1,rail,Route 15,Distributor 4,65046f7afc13ae03cdfd5add,170,1.0
Phone,Manufacturer 3,7.11,11,road,Route 15,Distributor 1,65046f7afc13ae03cdfd5ade,133,0.4
Laptop,Manufacturer 3,3.32,4,rail,Route 15,Distributor 4,65046f7afc13ae03cdfd5adf,480,0.4
Tablet,Manufacturer 1,8.63,3,air,Route 12,Distributor 2,65046f7afc13ae03cdfd5ae0,160,0.1
Phone,Manufacturer 1,3.17,1,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5ae1,100,0.6
Laptop,Manufacturer 3,8.9,2,road,Route 12,Distributor 1,65046f7afc13ae03cdfd5ae2,480,0.4
Tablet,Manufacturer 2,9.94,7,air,Route 13,Distributor 3,65046f7afc13ae03cdfd5ae3,170,1.0
Phone,Manufacturer 2,5.89,11,air,Route 13,Distributor 3,65046f7afc13ae03cdfd5ae4,120,0.3
Laptop,Manufacturer 2,4.94,12,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5ae5,400,0.1
Tablet,Manufacturer 3,8.22,11,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5ae6,165,0.5
Phone,Manufacturer 1,8.81,11,road,Route 12,Distributor 4,65046f7afc13ae03cdfd5ae7,100,0.6
Laptop,Manufacturer 1,4.73,7,air,Route 13,Distributor 4,65046f7afc13ae03cdfd5ae8,470,0.8
Tablet,Manufacturer 3,4.9,12,road,Route 15,Distributor 1,65046f7afc13ae03cdfd5ae9,165,0.5
Phone,Manufacturer 3,9.35,2,rail,Route 15,Distributor 2,65046f7afc13ae03cdfd5aea,133,0.4
Laptop,Manufacturer 3,5.73,1,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5aeb,480,0.4
Tablet,Manufacturer 3,3.49,8,road,Route 11,Distributor 4,65046f7afc13ae03cdfd5aec,165,0.5
Phone,Manufacturer 3,5.27,7,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5aed,133,0.4
Laptop,Manufacturer 3,4.55,8,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5aee,480,0.4
Tablet,Manufacturer 3,3.02,4,air,Route 13,Distributor 3,65046f7afc13ae03cdfd5aef,165,0.5
Phone,Manufacturer 2,5.44,9,sea,Route 13,Distributor 1,65046f7afc13ae03cdfd5af0,120,0.3
Laptop,Manufacturer 3,7.89,7,air,Route 16,Distributor 1,65046f7afc13ae03cdfd5af1,480,0.4
Tablet,Manufacturer 2,8.28,2,air,Route 12,Distributor 4,65046f7afc13ae03cdfd5af2,170,1.0
Phone,Manufacturer 2,5.57,5,road,Route 15,Distributor 2,65046f7afc13ae03cdfd5af3,120,0.3
Laptop,Manufacturer 1,9.32,12,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5af4,470,0.8
Tablet,Manufacturer 3,8.19,10,air,Route 16,Distributor 1,65046f7afc13ae03cdfd5af5,165,0.5
Phone,Manufacturer 3,3.45,5,rail,Route 11,Distributor 1,65046f7afc13ae03cdfd5af6,133,0.4
Laptop,Manufacturer 1,6.99,2,rail,Route 12,Distributor 2,65046f7afc13ae03cdfd5af7,470,0.8
Tablet,Manufacturer 2,9.35,6,air,Route 11,Distributor 1,65046f7afc13ae03cdfd5af8,170,1.0
Phone,Manufacturer 1,8.45,6,air,Route 16,Distributor 4,65046f7afc13ae03cdfd5af9,100,0.6
Laptop,Manufacturer 3,6.78,6,air,Route 11,Distributor 1,65046f7afc13ae03cdfd5afa,480,0.4
Tablet,Manufacturer 3,3.09,1,rail,Route 15,Distributor 1,65046f7afc13ae03cdfd5afb,165,0.5
Phone,Manufacturer 1,4.14,4,rail,Route 15,Distributor 3,65046f7afc13ae03cdfd5afc,100,0.6
Laptop,Manufacturer 2,6.95,10,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5afd,400,0.1
Tablet,Manufacturer 3,9.44,7,road,Route 12,Distributor 1,65046f7afc13ae03cdfd5afe,165,0.5
Phone,Manufacturer 1,9.44,6,air,Route 13,Distributor 4,65046f7afc13ae03cdfd5aff,100,0.6
Laptop,Manufacturer 3,7.94,9,sea,Route 16,Distributor 1,65046f7afc13ae03cdfd5b00,480,0.4
Tablet,Manufacturer 2,4.49,12,sea,Route 13,Distributor 1,65046f7afc13ae03cdfd5b01,170,1.0
Phone,Manufacturer 1,9.79,11,road,Route 11,Distributor 3,65046f7afc13ae03cdfd5b02,100,0.6
Laptop,Manufacturer 2,4.87,2,road,Route 12,Distributor 4,65046f7afc13ae03cdfd5b03,400,0.1
Tablet,Manufacturer 1,3.18,7,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5b04,160,0.1
Phone,Manufacturer 2,9.55,11,rail,Route 15,Distributor 4,65046f7afc13ae03cdfd5b05,120,0.3
Laptop,Manufacturer 1,5.31,10,sea,Route 16,Distributor 1,65046f7afc13ae03cdfd5b06,470,0.8
Tablet,Manufacturer 3,4.53,3,air,Route 16,Distributor 4,65046f7afc13ae03cdfd5b07,165,0.5
Phone,Manufacturer 2,9.72,7,road,Route 11,Distributor 3,65046f7afc13ae03cdfd5b08,120,0.3
Laptop,Manufacturer 2,6.89,3,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5b09,400,0.1
Tablet,Manufacturer 3,7.41,11,sea,Route 14,Distributor 3,65046f7afc13ae03cdfd5b0a,165,0.5
Phone,Manufacturer 2,6.25,7,sea,Route 13,Distributor 4,65046f7afc13ae03cdfd5b0b,120,0.3
Laptop,Manufacturer 3,6.2,8,road,Route 12,Distributor 3,65046f7afc13ae03cdfd5b0c,480,0.4
Tablet,Manufacturer 1,8.89,4,rail,Route 15,Distributor 1,65046f7afc13ae03cdfd5b0d,160,0.1
Phone,Manufacturer 3,9.8,6,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5b0e,133,0.4
Laptop,Manufacturer 2,4.84,11,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5b0f,400,0.1
Tablet,Manufacturer 3,4.77,8,road,Route 11,Distributor 3,65046f7afc13ae03cdfd5b10,165,0.5
Phone,Manufacturer 2,4.07,10,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5b11,120,0.3
Laptop,Manufacturer 2,9.65,12,rail,Route 12,Distributor 2,65046f7afc13ae03cdfd5b12,400,0.1
Tablet,Manufacturer 3,9.12,3,road,Route 12,Distributor 1,65046f7afc13ae03cdfd5b13,165,0.5
Phone,Manufacturer 3,9.57,6,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5b14,133,0.4
Laptop,Manufacturer 3,3.81,1,rail,Route 11,Distributor 1,65046f7afc13ae03cdfd5b15,480,0.4
Tablet,Manufacturer 1,8.58,10,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5b16,160,0.1
Phone,Manufacturer 3,3.1,9,sea,Route 16,Distributor 1,65046f7afc13ae03cdfd5b17,133,0.4
Laptop,Manufacturer 1,5.08,11,rail,Route 11,Distributor 2,65046f7afc13ae03cdfd5b18,470,0.8
Tablet,Manufacturer 2,6.3,7,rail,Route 15,Distributor 3,65046f7afc13ae03cdfd5b19,170,1.0
Phone,Manufacturer 3,9.36,12,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5b1a,133,0.4
Laptop,Manufacturer 3,9.99,8,rail,Route 12,Distributor 3,65046f7afc13ae03cdfd5b1b,480,0.4
Tablet,Manufacturer 1,8.61,11,rail,Route 15,Distributor 2,65046f7afc13ae03cdfd5b1c,160,0.1
Phone,Manufacturer 3,9.69,12,road,Route 11,Distributor 1,65046f7afc13ae03cdfd5b1d,133,0.4
Laptop,Manufacturer 1,5.41,2,sea,Route 13,Distributor 3,65046f7afc13ae03cdfd5b1e,470,0.8
Tablet,Manufacturer 2,9.64,2,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5b1f,170,1.0
Phone,Manufacturer 1,7.44,7,air,Route 13,Distributor 3,65046f7afc13ae03cdfd5b20,100,0.6
Laptop,Manufacturer 2,6.52,1,rail,Route 11,Distributor 1,65046f7afc13ae03cdfd5b21,400,0.1
Tablet,Manufacturer 2,8.46,1,air,Route 13,Distributor 2,65046f7afc13ae03cdfd5b22,170,1.0
Phone,Manufacturer 1,3.3,5,road,Route 15,Distributor 4,65046f7afc13ae03cdfd5b23,100,0.6
Laptop,Manufacturer 3,9.94,1,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5b24,480,0.4
Tablet,Manufacturer 2,8.33,8,air,Route 11,Distributor 1,65046f7afc13ae03cdfd5b25,170,1.0
Phone,Manufacturer 2,5.42,11,road,Route 11,Distributor 2,65046f7afc13ae03cdfd5b26,120,0.3
Laptop,Manufacturer 2,6.34,6,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5b27,400,0.1
Tablet,Manufacturer 1,4.63,10,air,Route 16,Distributor 2,65046f7afc13ae03cdfd5b28,160,0.1
Phone,Manufacturer 3,8.14,12,rail,Route 11,Distributor 2,65046f7afc13ae03cdfd5b29,133,0.4
Laptop,Manufacturer 2,5.7,6,air,Route 16,Distributor 1,65046f7afc13ae03cdfd5b2a,400,0.1
Tablet,Manufacturer 2,6.24,8,road,Route 11,Distributor 2,65046f7afc13ae03cdfd5b2b,170,1.0
Phone,Manufacturer 2,9.69,3,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5b2c,120,0.3
Laptop,Manufacturer 2,3.45,4,road,Route 15,Distributor 3,65046f7afc13ae03cdfd5b2d,400,0.1
Tablet,Manufacturer 1,8.16,5,road,Route 12,Distributor 1,65046f7afc13ae03cdfd5b2e,160,0.1
Phone,Manufacturer 2,4.96,7,road,Route 11,Distributor 1,65046f7afc13ae03cdfd5b2f,120,0.3
Laptop,Manufacturer 2,8.39,1,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5b30,400,0.1
Tablet,Manufacturer 2,4.25,8,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5b31,170,1.0
Phone,Manufacturer 1,9.14,8,sea,Route 13,Distributor 1,65046f7afc13ae03cdfd5b32,100,0.6
Laptop,Manufacturer 2,8.94,4,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5b33,400,0.1
Tablet,Manufacturer 1,3.02,9,air,Route 11,Distributor 2,65046f7afc13ae03cdfd5b34,160,0.1
Phone,Manufacturer 1,8.03,4,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5b35,100,0.6
Laptop,Manufacturer 2,5.55,9,rail,Route 11,Distributor 4,65046f7afc13ae03cdfd5b36,400,0.1
Tablet,Manufacturer 2,9.57,8,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5b37,170,1.0
Phone,Manufacturer 2,3.78,3,air,Route 16,Distributor 3,65046f7afc13ae03cdfd5b38,120,0.3
Laptop,Manufacturer 1,9.11,8,rail,Route 15,Distributor 2,65046f7afc13ae03cdfd5b39,470,0.8
Tablet,Manufacturer 1,5.13,9,sea,Route 14,Distributor 3,65046f7afc13ae03cdfd5b3a,160,0.1
Phone,Manufacturer 3,5.52,1,sea,Route 13,Distributor 1,65046f7afc13ae03cdfd5b3b,133,0.4
Laptop,Manufacturer 1,4.98,3,road,Route 15,Distributor 2,65046f7afc13ae03cdfd5b3c,470,0.8
Tablet,Manufacturer 3,6.46,12,rail,Route 12,Distributor 1,65046f7afc13ae03cdfd5b3d,165,0.5
Phone,Manufacturer 3,8.93,1,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5b3e,133,0.4
Laptop,Manufacturer 1,4.66,8,rail,Route 15,Distributor 4,65046f7afc13ae03cdfd5b3f,470,0.8
Tablet,Manufacturer 2,3.89,12,road,Route 15,Distributor 1,65046f7afc13ae03cdfd5b40,170,1.0
Phone,Manufacturer 1,8.33,10,sea,Route 16,Distributor 1,65046f7afc13ae03cdfd5b41,100,0.6
Laptop,Manufacturer 3,8.33,6,air,Route 16,Distributor 2,65046f7afc13ae03cdfd5b42,480,0.4
Tablet,Manufacturer 3,4.62,2,air,Route 11,Distributor 2,65046f7afc13ae03cdfd5b43,165,0.5
Phone,Manufacturer 3,8.86,9,air,Route 12,Distributor 1,65046f7afc13ae03cdfd5b44,133,0.4
