Supplier name,Supplier stock ,Supplier cost per item (in $),Supplier order quantity,Supplier shipping cost (in $),Supplier shipping time,Supplier transport mode,Supplier routes ,Supplier destinations,Product ID
supplier 3,731,13.0,172,228.05,6,sea,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5a78
supplier 6,380,31.42,77,197.86,20,road,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5a79
supplier 2,82,14.59,182,172.74,20,road,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5a7a
supplier 6,175,8.69,30,184.59,9,road,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5a7b
supplier 1,990,15.73,70,130.59,5,sea,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5a7c
supplier 6,113,17.54,135,133.08,28,rail,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5a7d
supplier 5,220,10.33,127,231.95,15,air,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5a7e
supplier 1,441,26.41,39,280.66,14,air,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5a7f
supplier 5,16,13.44,158,146.08,3,rail,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5a80
supplier 3,463,21.59,82,261.93,21,sea,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5a81
supplier 6,24,28.49,170,233.95,6,sea,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5a82
supplier 3,513,24.03,155,273.53,3,road,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5a83
supplier 4,423,5.44,142,158.77,13,road,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5a84
supplier 5,717,13.84,91,103.79,8,sea,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5a85
supplier 6,174,20.79,151,148.75,5,rail,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5a86
supplier 6,539,29.45,1,131.58,2,sea,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5a87
supplier 2,579,34.95,17,55.16,21,rail,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5a88
supplier 1,422,13.6,54,135.77,1,road,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5a89
supplier 3,881,25.09,134,265.31,20,rail,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5a8a
supplier 4,82,30.73,166,155.33,16,sea,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5a8b
supplier 6,44,26.41,5,233.41,24,rail,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5a8c
supplier 5,136,9.4,159,85.22,17,air,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5a8d
supplier 2,734,6.43,26,62.13,24,sea,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5a8e
supplier 4,904,7.99,130,293.2,16,road,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5a8f
supplier 2,254,32.75,178,195.86,17,road,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5a90
supplier 4,246,19.87,195,220.53,1,rail,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5a91
supplier 3,311,9.65,182,276.52,17,road,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5a92
supplier 4,476,31.95,29,205.45,24,air,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5a93
supplier 3,146,27.84,137,246.01,18,road,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5a94
supplier 1,847,12.08,70,111.21,14,road,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5a95
supplier 5,482,18.84,194,145.62,9,air,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5a96
supplier 5,605,12.19,110,265.16,14,air,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5a97
supplier 6,186,13.71,140,191.9,13,rail,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5a98
supplier 1,469,14.56,145,273.57,4,rail,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5a99
supplier 1,809,6.18,101,219.4,20,road,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5a9a
supplier 3,509,34.06,175,296.31,21,rail,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5a9b
supplier 3,136,20.35,19,89.45,23,rail,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5a9c
supplier 2,491,8.12,121,217.96,11,sea,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5a9d
supplier 3,546,12.32,79,262.23,7,sea,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5a9e
supplier 6,817,9.95,173,274.65,19,road,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5a9f
supplier 1,538,20.03,138,84.51,10,road,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5aa0
supplier 1,73,10.01,136,287.34,6,sea,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5aa1
supplier 2,500,11.09,109,165.09,29,rail,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5aa2
supplier 4,181,21.62,48,264.03,21,rail,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5aa3
supplier 3,756,20.57,31,137.48,3,rail,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5aa4
supplier 3,48,14.09,11,258.79,2,sea,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5aa5
supplier 2,555,5.96,126,219.45,21,sea,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5aa6
supplier 3,399,24.25,187,203.1,22,sea,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5aa7
supplier 5,818,23.35,187,144.51,7,rail,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5aa8
supplier 2,887,28.18,29,171.31,19,air,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5aa9
supplier 3,457,28.91,74,256.11,21,sea,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5aaa
supplier 2,670,22.65,170,268.72,11,sea,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5aab
supplier 3,83,19.74,136,147.24,23,air,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5aac
supplier 5,525,23.94,102,77.57,18,rail,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5aad
supplier 4,110,29.08,2,221.09,27,rail,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5aae
supplier 4,254,26.48,7,57.48,12,road,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5aaf
supplier 4,979,33.05,10,91.5,25,road,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5ab0
supplier 2,273,23.68,139,127.53,18,air,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5ab1
supplier 1,10,30.07,191,56.58,18,sea,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5ab2
supplier 6,493,27.13,32,266.8,9,air,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5ab3
supplier 1,971,7.59,159,129.99,9,sea,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5ab4
supplier 3,774,29.89,109,196.75,26,air,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5ab5
supplier 1,628,5.27,127,254.05,21,rail,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5ab6
supplier 5,678,9.77,13,260.23,8,rail,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5ab7
supplier 4,276,16.15,16,274.18,17,air,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5ab8
supplier 2,543,6.78,38,70.57,13,rail,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5ab9
supplier 3,918,10.53,67,275.88,15,air,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5aba
supplier 1,189,30.7,2,270.16,6,road,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5abb
supplier 2,743,27.55,27,55.38,27,air,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5abc
supplier 2,150,32.3,140,293.85,9,rail,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5abd
supplier 5,126,12.93,51,78.94,28,road,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5abe
supplier 6,168,17.89,140,108.75,13,rail,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5abf
supplier 1,137,27.3,2,139.43,4,road,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5ac0
supplier 1,817,30.04,141,194.07,30,air,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5ac1
supplier 1,538,18.6,103,285.51,24,sea,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5ac2
supplier 2,575,34.56,96,175.89,22,sea,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5ac3
supplier 2,452,11.41,77,165.62,19,sea,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5ac4
supplier 4,890,15.46,158,85.41,30,rail,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5ac5
supplier 3,672,23.71,103,102.02,11,sea,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5ac6
supplier 6,432,27.06,155,94.97,23,sea,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5ac7
supplier 5,157,26.87,156,235.26,30,air,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5ac8
supplier 2,412,5.75,165,115.8,18,rail,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5ac9
supplier 2,683,6.15,159,70.17,24,rail,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5aca
supplier 3,40,23.4,142,247.77,24,road,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5acb
supplier 6,7,7.74,6,223.45,27,air,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5acc
supplier 6,509,33.39,181,288.01,9,sea,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5acd
supplier 1,774,22.34,7,254.43,23,rail,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5ace
supplier 4,412,28.79,185,284.91,12,air,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5acf
supplier 5,136,26.34,114,62.27,10,road,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5ad0
supplier 3,38,20.96,174,236.21,8,road,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5ad1
supplier 3,640,30.21,198,83.34,18,road,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5ad2
supplier 1,48,29.36,171,296.25,17,air,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5ad3
supplier 5,259,10.66,152,238.35,20,road,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5ad4
supplier 5,851,27.44,146,171.13,18,rail,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5ad5
supplier 5,695,9.58,199,55.23,27,sea,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5ad6
supplier 1,609,29.7,182,267.58,28,air,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5ad7
supplier 4,321,20.72,120,228.1,9,rail,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5ad8
supplier 3,380,26.01,158,89.45,17,rail,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5ad9
supplier 6,518,6.79,57,225.89,10,sea,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5ada
supplier 4,327,18.51,99,58.2,21,sea,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5adb
supplier 1,584,13.37,9,213.25,8,road,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5adc
supplier 1,768,16.84,41,88.64,6,rail,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5add
supplier 1,848,7.13,101,57.07,6,rail,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5ade
supplier 3,0,18.44,187,231.25,17,sea,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5adf
supplier 5,771,14.54,11,123.83,26,sea,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5ae0
supplier 2,637,9.8,130,168.35,12,rail,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5ae1
supplier 5,451,20.55,157,118.33,10,rail,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5ae2
supplier 3,329,21.22,200,241.31,29,road,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5ae3
supplier 6,388,15.92,135,112.38,29,sea,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5ae4
supplier 3,549,28.2,10,151.58,15,sea,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5ae5
supplier 5,620,23.15,51,244.06,15,sea,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5ae6
supplier 4,218,27.24,177,132.93,8,air,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5ae7
supplier 3,199,13.04,86,97.73,29,sea,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5ae8
supplier 2,280,18.65,95,179.38,10,sea,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5ae9
supplier 2,706,10.7,169,295.08,6,rail,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5aea
supplier 1,631,9.16,89,217.71,21,rail,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5aeb
supplier 4,744,24.81,84,156.25,8,air,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5aec
supplier 2,139,15.75,140,61.43,3,air,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5aed
supplier 4,530,31.88,155,169.17,5,road,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5aee
supplier 6,312,9.83,33,65.21,26,rail,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5aef
supplier 6,38,31.82,68,210.83,10,road,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5af0
supplier 2,825,23.48,180,286.88,30,sea,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5af1
supplier 5,961,25.65,110,284.01,28,rail,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5af2
supplier 5,929,14.0,20,221.43,29,rail,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5af3
supplier 5,227,24.53,66,176.2,7,air,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5af4
supplier 4,307,27.89,71,108.37,29,rail,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5af5
supplier 1,82,21.99,198,59.59,7,rail,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5af6
supplier 1,652,31.62,111,159.36,10,sea,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5af7
supplier 5,43,32.62,98,260.81,28,road,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5af8
supplier 1,278,27.12,32,232.27,18,road,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5af9
supplier 5,210,14.11,10,267.17,4,road,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5afa
supplier 1,733,15.14,57,98.05,23,air,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5afb
supplier 1,623,13.44,183,189.45,22,rail,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5afc
supplier 1,922,32.79,131,260.21,15,air,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5afd
supplier 2,722,25.75,103,244.33,10,sea,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5afe
supplier 1,722,11.96,75,219.59,26,rail,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5aff
supplier 1,134,19.32,150,208.97,25,sea,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5b00
supplier 3,802,30.77,58,111.96,2,rail,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5b01
supplier 4,923,26.66,179,162.62,15,rail,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5b02
supplier 3,112,10.09,180,92.65,28,road,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5b03
supplier 3,939,27.43,154,179.01,4,sea,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5b04
supplier 6,381,34.39,127,188.16,16,rail,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5b05
supplier 6,944,32.37,22,136.24,15,rail,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5b06
supplier 6,454,8.69,190,279.94,10,road,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5b07
supplier 2,571,31.55,16,177.71,11,air,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5b08
supplier 2,672,21.93,143,198.43,12,road,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5b09
supplier 6,51,21.74,156,220.3,27,rail,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5b0a
supplier 4,269,9.38,116,114.03,29,air,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5b0b
supplier 2,969,31.5,54,289.58,29,rail,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5b0c
supplier 1,564,33.88,197,120.15,26,sea,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5b0d
supplier 2,628,17.27,147,116.56,9,sea,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5b0e
supplier 5,549,11.16,93,101.58,24,road,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5b0f
supplier 5,89,11.19,177,252.11,23,air,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5b10
supplier 4,338,33.24,156,283.38,30,air,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5b11
supplier 3,565,29.41,160,78.01,14,road,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5b12
supplier 4,618,10.78,10,75.72,19,road,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5b13
supplier 5,85,19.59,63,169.53,22,rail,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5b14
supplier 1,309,13.61,119,232.97,26,sea,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5b15
supplier 1,130,31.72,136,235.13,30,rail,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5b16
supplier 6,398,33.18,11,193.15,15,air,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5b17
supplier 4,112,25.52,55,134.21,22,road,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5b18
supplier 4,136,16.86,51,239.91,7,sea,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5b19
supplier 6,295,32.16,61,74.63,23,sea,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5b1a
supplier 6,360,8.93,69,172.56,11,rail,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5b1b
supplier 2,820,10.54,200,150.12,20,air,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5b1c
supplier 4,759,23.73,97,131.41,16,road,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5b1d
supplier 2,42,27.5,182,218.65,4,road,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5b1e
supplier 3,723,29.32,172,53.04,13,road,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5b1f
supplier 2,691,7.52,54,84.04,4,air,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5b20
supplier 6,875,32.51,144,87.79,17,road,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5b21
supplier 2,368,22.09,129,98.14,3,road,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5b22
supplier 5,20,33.16,9,92.86,12,road,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5b23
supplier 3,72,14.83,198,185.95,25,rail,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5b24
supplier 2,122,17.5,173,165.59,26,sea,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5b25
supplier 6,773,23.53,64,101.09,16,air,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5b26
supplier 4,293,26.88,11,149.19,25,sea,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5b27
supplier 4,18,21.78,15,100.91,20,sea,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5b28
supplier 1,771,5.06,186,240.5,28,sea,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5b29
supplier 6,381,14.0,91,59.53,12,air,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5b2a
supplier 4,10,31.98,30,138.24,25,road,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5b2b
supplier 5,301,25.54,178,125.74,28,air,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5b2c
supplier 4,548,34.84,130,75.77,4,road,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5b2d
supplier 3,376,29.93,158,209.39,15,road,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5b2e
supplier 2,9,32.23,67,119.89,24,rail,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5b2f
supplier 5,590,18.28,171,235.08,11,road,Route 4,Manufacturer 1,65046f7afc13ae03cdfd5b30
supplier 3,670,8.7,77,86.26,16,sea,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5b31
supplier 5,212,8.23,84,201.61,15,rail,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5b32
supplier 5,854,19.18,68,153.67,16,air,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5b33
supplier 6,321,27.23,63,134.43,26,rail,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5b34
supplier 6,416,8.3,42,148.45,23,road,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5b35
supplier 1,527,12.69,17,72.7,18,rail,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5b36
supplier 4,232,13.11,105,226.53,28,sea,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5b37
supplier 5,190,8.77,78,68.49,13,sea,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5b38
supplier 6,945,23.32,170,297.33,23,rail,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5b39
supplier 6,394,29.2,74,55.67,20,air,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5b3a
supplier 1,81,18.11,63,53.43,3,rail,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5b3b
supplier 4,289,19.58,24,108.48,13,road,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5b3c
supplier 6,18,16.94,170,288.84,5,road,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5b3d
supplier 3,492,19.09,42,52.78,12,rail,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5b3e
supplier 6,67,10.94,148,275.12,12,rail,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5b3f
supplier 2,318,21.85,160,269.31,23,road,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5b40
supplier 3,41,21.49,171,230.52,8,rail,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5b41
supplier 6,729,34.94,180,229.12,3,sea,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5b42
supplier 4,388,28.55,190,133.89,16,rail,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5b43
supplier 6,440,7.31,160,93.89,14,sea,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5b44
supplier 2,422,8.3,37,236.62,16,sea,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5b45
supplier 5,66,34.81,82,281.78,29,sea,Route 5,Manufacturer 2,65046f7afc13ae03cdfd5b46
supplier 6,782,21.83,154,253.01,29,air,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5b47
supplier 6,901,21.83,40,62.54,9,air,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5b48
supplier 2,755,22.38,169,155.9,28,sea,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5b49
supplier 3,352,24.31,137,246.26,27,air,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5b4a
supplier 1,623,10.4,136,166.95,3,sea,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5b4b
supplier 1,156,32.1,32,221.86,5,sea,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5b4c
supplier 1,777,22.03,181,93.81,18,road,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5b4d
supplier 5,36,24.85,130,150.79,12,road,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5b4e
supplier 5,703,20.79,197,167.32,12,sea,Route 6,Manufacturer 3,65046f7afc13ae03cdfd5b4f
supplier 4,176,21.07,165,200.59,6,rail,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5b50
supplier 4,505,31.45,16,82.65,6,sea,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5b51
supplier 6,824,17.29,18,158.77,4,rail,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5b52
supplier 2,959,30.8,105,282.36,20,rail,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5b53
supplier 4,337,5.9,48,270.41,17,sea,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5b54
