Product Type,Distributor name,Distributor shipping cost,Distributor shipping time,Distributor transport mode,Distributor routes ,Distributor destinations,Product ID,Distributor cost
Laptop,Distributor 1,8.4,3,sea,Route 26,Retailer 6,65046f7afc13ae03cdfd5a82,540
Tablet,Distributor 2,4.11,6,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5a83,170
Phone,Distributor 3,8.29,4,air,Route 21,Retailer 3,65046f7afc13ae03cdfd5a84,300
Laptop,Distributor 3,5.41,2,road,Route 23,Retailer 2,65046f7afc13ae03cdfd5a85,500
Tablet,Distributor 4,5.44,1,air,Route 21,Retailer 4,65046f7afc13ae03cdfd5a86,220
Phone,Distributor 1,5.6,4,air,Route 21,Retailer 6,65046f7afc13ae03cdfd5a87,200
Laptop,Distributor 3,3.88,4,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5a88,500
Tablet,Distributor 2,4.6,2,air,Route 21,Retailer 5,65046f7afc13ae03cdfd5a89,170
Phone,Distributor 1,6.94,4,sea,Route 26,Retailer 6,65046f7afc13ae03cdfd5a8a,200
Laptop,Distributor 3,3.95,4,road,Route 24,Retailer 2,65046f7afc13ae03cdfd5a8b,500
Tablet,Distributor 3,7.44,3,sea,Route 26,Retailer 2,65046f7afc13ae03cdfd5a8c,350
Phone,Distributor 3,7.26,4,sea,Route 26,Retailer 6,65046f7afc13ae03cdfd5a8d,300
Laptop,Distributor 1,6.77,6,road,Route 21,Retailer 6,65046f7afc13ae03cdfd5a8e,540
Tablet,Distributor 4,6.39,4,road,Route 21,Retailer 2,65046f7afc13ae03cdfd5a8f,220
Phone,Distributor 2,7.02,4,road,Route 24,Retailer 2,65046f7afc13ae03cdfd5a90,190
Laptop,Distributor 1,3.96,6,rail,Route 22,Retailer 4,65046f7afc13ae03cdfd5a91,540
Tablet,Distributor 1,9.67,4,sea,Route 26,Retailer 6,65046f7afc13ae03cdfd5a92,200
Phone,Distributor 4,8.88,4,rail,Route 21,Retailer 2,65046f7afc13ae03cdfd5a93,250
Laptop,Distributor 3,4.53,6,air,Route 21,Retailer 4,65046f7afc13ae03cdfd5a94,500
Tablet,Distributor 3,6.48,2,air,Route 21,Retailer 3,65046f7afc13ae03cdfd5a95,350
Phone,Distributor 2,5.05,4,road,Route 21,Retailer 3,65046f7afc13ae03cdfd5a96,190
Laptop,Distributor 2,8.25,3,road,Route 22,Retailer 5,65046f7afc13ae03cdfd5a97,440
Tablet,Distributor 1,6.11,1,sea,Route 26,Retailer 6,65046f7afc13ae03cdfd5a98,200
Phone,Distributor 3,8.48,1,rail,Route 21,Retailer 1,65046f7afc13ae03cdfd5a99,300
Laptop,Distributor 2,7.46,5,air,Route 26,Retailer 2,65046f7afc13ae03cdfd5a9a,440
Tablet,Distributor 1,7.68,3,road,Route 22,Retailer 4,65046f7afc13ae03cdfd5a9b,200
Phone,Distributor 1,4.19,1,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5a9c,200
Laptop,Distributor 2,4.62,6,air,Route 21,Retailer 4,65046f7afc13ae03cdfd5a9d,440
Tablet,Distributor 1,5.28,4,road,Route 22,Retailer 5,65046f7afc13ae03cdfd5a9e,200
Phone,Distributor 1,6.73,2,rail,Route 22,Retailer 3,65046f7afc13ae03cdfd5a9f,200
Laptop,Distributor 1,9.55,6,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5aa0,540
Tablet,Distributor 3,7.52,1,road,Route 24,Retailer 3,65046f7afc13ae03cdfd5aa1,350
Phone,Distributor 1,3.64,3,road,Route 21,Retailer 5,65046f7afc13ae03cdfd5aa2,200
Laptop,Distributor 2,4.57,3,air,Route 26,Retailer 1,65046f7afc13ae03cdfd5aa3,440
Tablet,Distributor 1,8.14,3,air,Route 21,Retailer 4,65046f7afc13ae03cdfd5aa4,200
Phone,Distributor 3,5.91,2,road,Route 22,Retailer 5,65046f7afc13ae03cdfd5aa5,300
Laptop,Distributor 2,6.38,5,air,Route 26,Retailer 4,65046f7afc13ae03cdfd5aa6,440
Tablet,Distributor 4,9.87,2,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5aa7,220
Phone,Distributor 1,3.73,4,rail,Route 22,Retailer 2,65046f7afc13ae03cdfd5aa8,200
Laptop,Distributor 1,6.92,3,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5aa9,540
Tablet,Distributor 4,8.92,3,rail,Route 22,Retailer 1,65046f7afc13ae03cdfd5aaa,220
Phone,Distributor 2,4.69,4,sea,Route 26,Retailer 6,65046f7afc13ae03cdfd5aab,190
Laptop,Distributor 4,4.1,4,rail,Route 21,Retailer 3,65046f7afc13ae03cdfd5aac,480
Tablet,Distributor 2,4.19,5,road,Route 23,Retailer 5,65046f7afc13ae03cdfd5aad,170
Phone,Distributor 4,5.25,3,rail,Route 21,Retailer 3,65046f7afc13ae03cdfd5aae,250
Laptop,Distributor 3,3.41,5,road,Route 22,Retailer 2,65046f7afc13ae03cdfd5aaf,500
Tablet,Distributor 4,4.88,5,air,Route 26,Retailer 4,65046f7afc13ae03cdfd5ab0,220
Phone,Distributor 1,9.38,1,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5ab1,200
Laptop,Distributor 3,6.22,5,road,Route 22,Retailer 6,65046f7afc13ae03cdfd5ab2,500
Tablet,Distributor 1,8.27,6,air,Route 26,Retailer 6,65046f7afc13ae03cdfd5ab3,200
Phone,Distributor 1,3.71,6,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5ab4,200
Laptop,Distributor 1,4.22,3,rail,Route 21,Retailer 6,65046f7afc13ae03cdfd5ab5,540
Tablet,Distributor 3,8.26,5,rail,Route 21,Retailer 6,65046f7afc13ae03cdfd5ab6,350
Phone,Distributor 3,6.41,2,air,Route 26,Retailer 5,65046f7afc13ae03cdfd5ab7,300
Laptop,Distributor 1,5.11,3,air,Route 21,Retailer 5,65046f7afc13ae03cdfd5ab8,540
Tablet,Distributor 2,9.56,2,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5ab9,170
Phone,Distributor 1,4.12,3,sea,Route 26,Retailer 6,65046f7afc13ae03cdfd5aba,200
Laptop,Distributor 2,6.54,4,air,Route 21,Retailer 3,65046f7afc13ae03cdfd5abb,440
Tablet,Distributor 4,4.65,2,sea,Route 26,Retailer 4,65046f7afc13ae03cdfd5abc,220
Phone,Distributor 3,3.85,5,sea,Route 26,Retailer 2,65046f7afc13ae03cdfd5abd,300
Laptop,Distributor 3,6.44,3,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5abe,500
Tablet,Distributor 3,9.31,3,road,Route 22,Retailer 1,65046f7afc13ae03cdfd5abf,350
Phone,Distributor 1,3.33,2,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5ac0,200
Laptop,Distributor 4,3.46,1,rail,Route 21,Retailer 2,65046f7afc13ae03cdfd5ac1,480
Tablet,Distributor 3,9.49,6,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5ac2,350
Phone,Distributor 2,7.48,3,air,Route 21,Retailer 3,65046f7afc13ae03cdfd5ac3,190
Laptop,Distributor 1,9.4,3,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5ac4,540
Tablet,Distributor 1,3.01,1,road,Route 22,Retailer 5,65046f7afc13ae03cdfd5ac5,200
Phone,Distributor 3,3.22,5,rail,Route 21,Retailer 5,65046f7afc13ae03cdfd5ac6,300
Laptop,Distributor 3,5.41,6,road,Route 23,Retailer 4,65046f7afc13ae03cdfd5ac7,500
Tablet,Distributor 1,6.1,4,air,Route 26,Retailer 4,65046f7afc13ae03cdfd5ac8,200
Phone,Distributor 1,7.79,3,sea,Route 26,Retailer 4,65046f7afc13ae03cdfd5ac9,200
Laptop,Distributor 2,4.19,6,sea,Route 26,Retailer 4,65046f7afc13ae03cdfd5aca,440
Tablet,Distributor 4,7.3,2,air,Route 26,Retailer 1,65046f7afc13ae03cdfd5acb,220
Phone,Distributor 3,6.17,1,air,Route 21,Retailer 2,65046f7afc13ae03cdfd5acc,300
Laptop,Distributor 2,6.14,2,sea,Route 26,Retailer 4,65046f7afc13ae03cdfd5acd,440
Tablet,Distributor 2,4.55,1,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5ace,170
Phone,Distributor 2,3.45,3,air,Route 21,Retailer 2,65046f7afc13ae03cdfd5acf,190
Laptop,Distributor 2,7.62,5,air,Route 26,Retailer 1,65046f7afc13ae03cdfd5ad0,440
Tablet,Distributor 4,3.12,2,sea,Route 26,Retailer 1,65046f7afc13ae03cdfd5ad1,220
Phone,Distributor 2,7.3,2,rail,Route 21,Retailer 4,65046f7afc13ae03cdfd5ad2,190
Laptop,Distributor 1,4.81,2,rail,Route 21,Retailer 4,65046f7afc13ae03cdfd5ad3,540
Tablet,Distributor 3,8.99,5,road,Route 23,Retailer 3,65046f7afc13ae03cdfd5ad4,350
Phone,Distributor 3,6.34,1,road,Route 22,Retailer 2,65046f7afc13ae03cdfd5ad5,300
Laptop,Distributor 3,7.88,2,air,Route 21,Retailer 4,65046f7afc13ae03cdfd5ad6,500
Tablet,Distributor 1,7.13,5,road,Route 24,Retailer 6,65046f7afc13ae03cdfd5ad7,200
Phone,Distributor 1,6.63,3,sea,Route 26,Retailer 1,65046f7afc13ae03cdfd5ad8,200
Laptop,Distributor 3,4.57,2,air,Route 21,Retailer 1,65046f7afc13ae03cdfd5ad9,500
Tablet,Distributor 2,9.56,3,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5ada,170
Phone,Distributor 1,9.7,6,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5adb,200
Laptop,Distributor 2,9.12,1,rail,Route 22,Retailer 5,65046f7afc13ae03cdfd5adc,440
Tablet,Distributor 3,6.09,1,air,Route 26,Retailer 1,65046f7afc13ae03cdfd5add,350
Phone,Distributor 2,3.76,6,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5ade,190
Laptop,Distributor 2,6.18,2,rail,Route 22,Retailer 3,65046f7afc13ae03cdfd5adf,440
Tablet,Distributor 2,3.83,3,rail,Route 22,Retailer 4,65046f7afc13ae03cdfd5ae0,170
Phone,Distributor 4,4.12,2,air,Route 21,Retailer 4,65046f7afc13ae03cdfd5ae1,250
Laptop,Distributor 1,7.53,1,sea,Route 26,Retailer 4,65046f7afc13ae03cdfd5ae2,540
Tablet,Distributor 1,3.02,3,road,Route 21,Retailer 2,65046f7afc13ae03cdfd5ae3,200
Phone,Distributor 3,7.46,1,road,Route 23,Retailer 1,65046f7afc13ae03cdfd5ae4,300
Laptop,Distributor 1,7.3,6,rail,Route 21,Retailer 6,65046f7afc13ae03cdfd5ae5,540
Tablet,Distributor 4,8.12,2,road,Route 23,Retailer 4,65046f7afc13ae03cdfd5ae6,220
Phone,Distributor 1,3.71,1,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5ae7,200
Laptop,Distributor 4,7.52,1,rail,Route 21,Retailer 4,65046f7afc13ae03cdfd5ae8,480
Tablet,Distributor 2,4.41,1,rail,Route 21,Retailer 3,65046f7afc13ae03cdfd5ae9,170
Phone,Distributor 3,6.26,3,road,Route 24,Retailer 6,65046f7afc13ae03cdfd5aea,300
Laptop,Distributor 1,6.02,6,air,Route 26,Retailer 5,65046f7afc13ae03cdfd5aeb,540
Tablet,Distributor 1,6.95,4,rail,Route 21,Retailer 2,65046f7afc13ae03cdfd5aec,200
Phone,Distributor 4,8.01,1,air,Route 21,Retailer 3,65046f7afc13ae03cdfd5aed,250
Laptop,Distributor 3,3.65,6,road,Route 23,Retailer 5,65046f7afc13ae03cdfd5aee,500
Tablet,Distributor 3,7.27,1,rail,Route 21,Retailer 4,65046f7afc13ae03cdfd5aef,350
Phone,Distributor 4,7.17,4,road,Route 23,Retailer 4,65046f7afc13ae03cdfd5af0,250
Laptop,Distributor 2,4.0,2,road,Route 21,Retailer 3,65046f7afc13ae03cdfd5af1,440
Tablet,Distributor 2,5.96,6,rail,Route 21,Retailer 5,65046f7afc13ae03cdfd5af2,170
Phone,Distributor 3,3.5,6,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5af3,300
Laptop,Distributor 2,4.12,3,rail,Route 22,Retailer 4,65046f7afc13ae03cdfd5af4,440
Tablet,Distributor 3,8.94,3,air,Route 21,Retailer 5,65046f7afc13ae03cdfd5af5,350
Phone,Distributor 2,9.47,4,air,Route 26,Retailer 1,65046f7afc13ae03cdfd5af6,190
Laptop,Distributor 4,5.2,4,air,Route 26,Retailer 5,65046f7afc13ae03cdfd5af7,480
Tablet,Distributor 1,9.67,5,sea,Route 26,Retailer 1,65046f7afc13ae03cdfd5af8,200
Phone,Distributor 4,5.92,2,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5af9,250
Laptop,Distributor 3,4.99,5,road,Route 21,Retailer 6,65046f7afc13ae03cdfd5afa,500
Tablet,Distributor 1,3.32,3,air,Route 26,Retailer 3,65046f7afc13ae03cdfd5afb,200
Phone,Distributor 4,3.81,2,rail,Route 21,Retailer 2,65046f7afc13ae03cdfd5afc,250
Laptop,Distributor 3,6.9,3,rail,Route 22,Retailer 3,65046f7afc13ae03cdfd5afd,500
Tablet,Distributor 4,5.49,4,air,Route 26,Retailer 4,65046f7afc13ae03cdfd5afe,220
Phone,Distributor 1,8.03,2,sea,Route 26,Retailer 1,65046f7afc13ae03cdfd5aff,200
Laptop,Distributor 1,6.68,4,rail,Route 21,Retailer 1,65046f7afc13ae03cdfd5b00,540
Tablet,Distributor 4,7.75,6,sea,Route 26,Retailer 1,65046f7afc13ae03cdfd5b01,220
Phone,Distributor 3,7.14,3,air,Route 26,Retailer 6,65046f7afc13ae03cdfd5b02,300
Laptop,Distributor 4,3.91,1,sea,Route 26,Retailer 2,65046f7afc13ae03cdfd5b03,480
Tablet,Distributor 2,4.88,6,air,Route 26,Retailer 5,65046f7afc13ae03cdfd5b04,170
Phone,Distributor 3,7.97,6,air,Route 21,Retailer 5,65046f7afc13ae03cdfd5b05,300
Laptop,Distributor 3,5.0,5,air,Route 26,Retailer 4,65046f7afc13ae03cdfd5b06,500
Tablet,Distributor 2,6.76,1,road,Route 23,Retailer 3,65046f7afc13ae03cdfd5b07,170
Phone,Distributor 1,9.33,3,rail,Route 22,Retailer 6,65046f7afc13ae03cdfd5b08,200
Laptop,Distributor 2,6.51,2,air,Route 26,Retailer 4,65046f7afc13ae03cdfd5b09,440
Tablet,Distributor 1,9.59,5,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5b0a,200
Phone,Distributor 2,9.19,2,rail,Route 22,Retailer 3,65046f7afc13ae03cdfd5b0b,190
Laptop,Distributor 2,4.28,5,road,Route 22,Retailer 2,65046f7afc13ae03cdfd5b0c,440
Tablet,Distributor 2,7.58,5,road,Route 23,Retailer 2,65046f7afc13ae03cdfd5b0d,170
Phone,Distributor 4,6.68,1,rail,Route 22,Retailer 1,65046f7afc13ae03cdfd5b0e,250
Laptop,Distributor 1,9.29,6,air,Route 21,Retailer 3,65046f7afc13ae03cdfd5b0f,540
Tablet,Distributor 2,8.57,3,rail,Route 21,Retailer 6,65046f7afc13ae03cdfd5b10,170
Phone,Distributor 1,4.19,1,road,Route 23,Retailer 5,65046f7afc13ae03cdfd5b11,200
Laptop,Distributor 1,7.66,3,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5b12,540
Tablet,Distributor 4,3.57,1,road,Route 21,Retailer 3,65046f7afc13ae03cdfd5b13,220
Phone,Distributor 3,5.04,3,sea,Route 26,Retailer 1,65046f7afc13ae03cdfd5b14,300
Laptop,Distributor 1,4.35,4,air,Route 26,Retailer 5,65046f7afc13ae03cdfd5b15,540
Tablet,Distributor 4,3.8,6,sea,Route 26,Retailer 2,65046f7afc13ae03cdfd5b16,220
Phone,Distributor 4,6.14,6,rail,Route 21,Retailer 6,65046f7afc13ae03cdfd5b17,250
Laptop,Distributor 2,7.82,2,rail,Route 22,Retailer 4,65046f7afc13ae03cdfd5b18,440
Tablet,Distributor 3,4.22,6,road,Route 23,Retailer 1,65046f7afc13ae03cdfd5b19,350
Phone,Distributor 4,3.91,1,sea,Route 26,Retailer 2,65046f7afc13ae03cdfd5b1a,250
Laptop,Distributor 1,3.66,3,rail,Route 21,Retailer 2,65046f7afc13ae03cdfd5b1b,540
Tablet,Distributor 1,3.96,6,sea,Route 26,Retailer 2,65046f7afc13ae03cdfd5b1c,200
Phone,Distributor 2,7.25,4,rail,Route 22,Retailer 4,65046f7afc13ae03cdfd5b1d,190
Laptop,Distributor 3,3.71,3,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5b1e,500
Tablet,Distributor 3,6.83,5,air,Route 21,Retailer 2,65046f7afc13ae03cdfd5b1f,350
Phone,Distributor 3,9.31,2,rail,Route 22,Retailer 3,65046f7afc13ae03cdfd5b20,300
Laptop,Distributor 4,6.33,1,road,Route 21,Retailer 4,65046f7afc13ae03cdfd5b21,480
Tablet,Distributor 3,7.24,4,road,Route 24,Retailer 4,65046f7afc13ae03cdfd5b22,350
Phone,Distributor 3,7.22,4,air,Route 21,Retailer 4,65046f7afc13ae03cdfd5b23,300
Laptop,Distributor 1,7.79,3,road,Route 22,Retailer 3,65046f7afc13ae03cdfd5b24,540
Tablet,Distributor 3,9.27,3,air,Route 26,Retailer 5,65046f7afc13ae03cdfd5b25,350
Phone,Distributor 4,3.27,2,sea,Route 26,Retailer 6,65046f7afc13ae03cdfd5b26,250
Laptop,Distributor 3,3.19,4,rail,Route 21,Retailer 1,65046f7afc13ae03cdfd5b27,500
Tablet,Distributor 3,3.88,2,rail,Route 22,Retailer 4,65046f7afc13ae03cdfd5b28,350
Phone,Distributor 2,4.0,2,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5b29,190
Laptop,Distributor 1,5.56,6,sea,Route 26,Retailer 4,65046f7afc13ae03cdfd5b2a,540
Tablet,Distributor 2,5.93,5,air,Route 21,Retailer 1,65046f7afc13ae03cdfd5b2b,170
Phone,Distributor 1,9.91,4,road,Route 23,Retailer 1,65046f7afc13ae03cdfd5b2c,200
Laptop,Distributor 4,6.82,2,rail,Route 22,Retailer 5,65046f7afc13ae03cdfd5b2d,480
Tablet,Distributor 2,3.65,1,road,Route 23,Retailer 2,65046f7afc13ae03cdfd5b2e,170
Phone,Distributor 2,8.95,5,air,Route 26,Retailer 5,65046f7afc13ae03cdfd5b2f,190
Laptop,Distributor 1,5.93,5,road,Route 24,Retailer 4,65046f7afc13ae03cdfd5b30,540
Tablet,Distributor 4,3.16,5,air,Route 21,Retailer 5,65046f7afc13ae03cdfd5b31,220
Phone,Distributor 3,4.56,6,sea,Route 26,Retailer 1,65046f7afc13ae03cdfd5b32,300
Laptop,Distributor 4,4.35,1,sea,Route 26,Retailer 2,65046f7afc13ae03cdfd5b33,480
Tablet,Distributor 1,3.44,2,air,Route 26,Retailer 2,65046f7afc13ae03cdfd5b34,200
Phone,Distributor 1,6.05,3,road,Route 24,Retailer 1,65046f7afc13ae03cdfd5b35,200
Laptop,Distributor 3,5.79,1,road,Route 24,Retailer 2,65046f7afc13ae03cdfd5b36,500
Tablet,Distributor 4,7.97,1,rail,Route 21,Retailer 1,65046f7afc13ae03cdfd5b37,220
Phone,Distributor 4,5.63,6,rail,Route 21,Retailer 4,65046f7afc13ae03cdfd5b38,250
Laptop,Distributor 2,5.43,3,air,Route 26,Retailer 1,65046f7afc13ae03cdfd5b39,440
Tablet,Distributor 3,8.49,5,air,Route 26,Retailer 5,65046f7afc13ae03cdfd5b3a,350
Phone,Distributor 2,7.49,3,sea,Route 26,Retailer 1,65046f7afc13ae03cdfd5b3b,190
Laptop,Distributor 1,6.04,2,rail,Route 22,Retailer 5,65046f7afc13ae03cdfd5b3c,540
Tablet,Distributor 3,6.36,4,air,Route 26,Retailer 6,65046f7afc13ae03cdfd5b3d,350
Phone,Distributor 4,6.5,4,air,Route 21,Retailer 6,65046f7afc13ae03cdfd5b3e,250
Laptop,Distributor 2,8.16,2,road,Route 24,Retailer 3,65046f7afc13ae03cdfd5b3f,440
Tablet,Distributor 3,9.96,6,air,Route 26,Retailer 1,65046f7afc13ae03cdfd5b40,350
Phone,Distributor 1,8.64,2,rail,Route 22,Retailer 6,65046f7afc13ae03cdfd5b41,200
Laptop,Distributor 4,9.8,4,sea,Route 26,Retailer 6,65046f7afc13ae03cdfd5b42,480
Tablet,Distributor 1,8.54,6,road,Route 21,Retailer 1,65046f7afc13ae03cdfd5b43,200
Phone,Distributor 4,7.71,6,sea,Route 26,Retailer 2,65046f7afc13ae03cdfd5b44,250
Laptop,Distributor 2,5.35,4,rail,Route 21,Retailer 2,65046f7afc13ae03cdfd5b45,440
Tablet,Distributor 2,9.72,4,road,Route 22,Retailer 5,65046f7afc13ae03cdfd5b46,170
Phone,Distributor 2,4.97,4,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5b47,190
Laptop,Distributor 2,3.56,4,road,Route 23,Retailer 2,65046f7afc13ae03cdfd5b48,440
Tablet,Distributor 2,6.01,4,road,Route 24,Retailer 4,65046f7afc13ae03cdfd5b49,170
Phone,Distributor 1,7.69,4,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5b4a,200
Laptop,Distributor 1,8.92,2,road,Route 23,Retailer 5,65046f7afc13ae03cdfd5b4b,540
Tablet,Distributor 2,8.41,1,rail,Route 22,Retailer 4,65046f7afc13ae03cdfd5b4c,170
Phone,Distributor 3,7.24,4,road,Route 24,Retailer 3,65046f7afc13ae03cdfd5b4d,300
Laptop,Distributor 3,3.01,5,air,Route 21,Retailer 4,65046f7afc13ae03cdfd5b4e,500
Tablet,Distributor 1,9.46,6,sea,Route 26,Retailer 6,65046f7afc13ae03cdfd5b4f,200
Phone,Distributor 3,4.86,3,road,Route 24,Retailer 6,65046f7afc13ae03cdfd5b50,300
Laptop,Distributor 2,4.51,6,rail,Route 22,Retailer 6,65046f7afc13ae03cdfd5b51,440
Tablet,Distributor 3,4.1,4,air,Route 26,Retailer 1,65046f7afc13ae03cdfd5b52,350
Phone,Distributor 1,4.26,3,road,Route 21,Retailer 2,65046f7afc13ae03cdfd5b53,200
Laptop,Distributor 2,7.52,3,sea,Route 26,Retailer 2,65046f7afc13ae03cdfd5b54,440
Tablet,Distributor 1,7.02,3,air,Route 21,Retailer 1,65046f7afc13ae03cdfd5b55,200
Phone,Distributor 1,7.5,2,road,Route 24,Retailer 4,65046f7afc13ae03cdfd5b56,200
Laptop,Distributor 4,3.32,1,sea,Route 26,Retailer 1,65046f7afc13ae03cdfd5b57,480
Tablet,Distributor 2,5.93,5,rail,Route 22,Retailer 6,65046f7afc13ae03cdfd5b58,170
Phone,Distributor 4,8.48,5,air,Route 26,Retailer 6,65046f7afc13ae03cdfd5b59,250
Laptop,Distributor 4,3.47,5,air,Route 21,Retailer 3,65046f7afc13ae03cdfd5b5a,480
Tablet,Distributor 1,3.2,5,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5b5b,200
Phone,Distributor 2,4.81,4,rail,Route 21,Retailer 3,65046f7afc13ae03cdfd5b5c,190
Laptop,Distributor 4,5.1,6,air,Route 26,Retailer 2,65046f7afc13ae03cdfd5b5d,480
Tablet,Distributor 4,3.46,5,sea,Route 26,Retailer 2,65046f7afc13ae03cdfd5b5e,220
Phone,Distributor 1,6.4,3,road,Route 24,Retailer 1,65046f7afc13ae03cdfd5b5f,200
Laptop,Distributor 4,3.89,5,rail,Route 21,Retailer 5,65046f7afc13ae03cdfd5b60,480
