Product Type,Retailer name,Retailer product sold,Retailer shipping cost,Retailer shipping time,Retailer transport mode,Retailer routes ,Product ID,Retailer cost
Tablet,Retailer 4,yes,2.69,5,FedX,Route 33,65046f7afc13ae03cdfd5a74,1000
Phone,Retailer 5,yes,2.13,4,UPS,Route 35,65046f7afc13ae03cdfd5a75,600
Laptop,Retailer 2,yes,2.2,4,UPS,Route 35,65046f7afc13ae03cdfd5a76,1000
Tablet,Retailer 3,yes,2.66,3,FedX,Route 32,65046f7afc13ae03cdfd5a77,700
Phone,Retailer 6,yes,2.5,4,UPS,Route 32,65046f7afc13ae03cdfd5a78,590
Laptop,Retailer 4,yes,0.92,1,UPS,Route 34,65046f7afc13ae03cdfd5a79,1400
Tablet,Retailer 4,yes,0.93,1,FedX,Route 32,65046f7afc13ae03cdfd5a7a,1000
Phone,Retailer 2,yes,1.23,2,FedX,Route 33,65046f7afc13ae03cdfd5a7b,620
Laptop,Retailer 5,yes,1.65,5,UPS,Route 31,65046f7afc13ae03cdfd5a7c,1000
Tablet,Retailer 4,yes,2.16,4,UPS,Route 33,65046f7afc13ae03cdfd5a7d,1000
Phone,Retailer 5,yes,0.06,1,FedX,Route 33,65046f7afc13ae03cdfd5a7e,600
Laptop,Retailer 1,yes,0.68,4,UPS,Route 31,65046f7afc13ae03cdfd5a7f,1070
Tablet,Retailer 1,yes,0.01,3,UPS,Route 36,65046f7afc13ae03cdfd5a80,800
Phone,Retailer 2,yes,1.84,1,UPS,Route 35,65046f7afc13ae03cdfd5a81,620
Laptop,Retailer 4,yes,2.99,3,FedX,Route 35,65046f7afc13ae03cdfd5a82,1400
Tablet,Retailer 3,yes,1.3,3,UPS,Route 35,65046f7afc13ae03cdfd5a83,700
Phone,Retailer 1,yes,1.07,2,FedX,Route 33,65046f7afc13ae03cdfd5a84,600
Laptop,Retailer 3,yes,2.55,5,UPS,Route 36,65046f7afc13ae03cdfd5a85,1200
Tablet,Retailer 2,yes,0.8,5,FedX,Route 34,65046f7afc13ae03cdfd5a86,800
Phone,Retailer 3,yes,3.0,2,UPS,Route 36,65046f7afc13ae03cdfd5a87,650
Laptop,Retailer 2,yes,0.64,5,FedX,Route 36,65046f7afc13ae03cdfd5a88,1000
Tablet,Retailer 1,yes,2.89,2,UPS,Route 32,65046f7afc13ae03cdfd5a89,800
Phone,Retailer 6,yes,0.26,4,UPS,Route 36,65046f7afc13ae03cdfd5a8a,590
Laptop,Retailer 4,yes,1.1,5,FedX,Route 35,65046f7afc13ae03cdfd5a8b,1400
Tablet,Retailer 2,yes,1.69,3,FedX,Route 35,65046f7afc13ae03cdfd5a8c,800
Phone,Retailer 3,yes,2.55,1,UPS,Route 35,65046f7afc13ae03cdfd5a8d,650
Laptop,Retailer 4,yes,1.16,1,FedX,Route 31,65046f7afc13ae03cdfd5a8e,1400
Tablet,Retailer 5,no,1.22,2,UPS,Route 31,65046f7afc13ae03cdfd5a8f,650
Phone,Retailer 2,yes,1.64,1,FedX,Route 36,65046f7afc13ae03cdfd5a90,620
Laptop,Retailer 3,yes,2.75,3,UPS,Route 36,65046f7afc13ae03cdfd5a91,1200
Tablet,Retailer 4,no,2.35,2,UPS,Route 32,65046f7afc13ae03cdfd5a92,1000
Phone,Retailer 6,yes,1.36,3,UPS,Route 35,65046f7afc13ae03cdfd5a93,590
Laptop,Retailer 3,yes,2.56,5,FedX,Route 32,65046f7afc13ae03cdfd5a94,1200
Tablet,Retailer 3,yes,2.11,2,UPS,Route 31,65046f7afc13ae03cdfd5a95,700
Phone,Retailer 2,yes,0.64,2,FedX,Route 34,65046f7afc13ae03cdfd5a96,620
Laptop,Retailer 3,yes,2.49,5,FedX,Route 31,65046f7afc13ae03cdfd5a97,1200
Tablet,Retailer 6,yes,2.23,5,UPS,Route 32,65046f7afc13ae03cdfd5a98,820
Phone,Retailer 6,yes,2.73,1,UPS,Route 32,65046f7afc13ae03cdfd5a99,590
Laptop,Retailer 5,yes,2.19,1,UPS,Route 36,65046f7afc13ae03cdfd5a9a,1000
Tablet,Retailer 5,yes,1.83,5,UPS,Route 31,65046f7afc13ae03cdfd5a9b,650
Phone,Retailer 5,yes,1.53,2,FedX,Route 33,65046f7afc13ae03cdfd5a9c,600
Laptop,Retailer 6,yes,0.25,3,FedX,Route 34,65046f7afc13ae03cdfd5a9d,1100
Tablet,Retailer 2,yes,2.61,4,FedX,Route 35,65046f7afc13ae03cdfd5a9e,800
Phone,Retailer 5,no,2.58,4,FedX,Route 34,65046f7afc13ae03cdfd5a9f,600
Laptop,Retailer 1,yes,1.07,4,FedX,Route 33,65046f7afc13ae03cdfd5aa0,1070
Tablet,Retailer 4,yes,0.65,4,UPS,Route 32,65046f7afc13ae03cdfd5aa1,1000
Phone,Retailer 5,yes,2.29,5,FedX,Route 33,65046f7afc13ae03cdfd5aa2,600
Laptop,Retailer 3,yes,0.63,1,FedX,Route 34,65046f7afc13ae03cdfd5aa3,1200
Tablet,Retailer 6,yes,0.3,2,FedX,Route 35,65046f7afc13ae03cdfd5aa4,820
Phone,Retailer 2,yes,1.96,2,UPS,Route 34,65046f7afc13ae03cdfd5aa5,620
Laptop,Retailer 4,yes,1.21,1,FedX,Route 34,65046f7afc13ae03cdfd5aa6,1400
Tablet,Retailer 4,yes,2.78,5,UPS,Route 35,65046f7afc13ae03cdfd5aa7,1000
Phone,Retailer 5,yes,1.0,1,FedX,Route 35,65046f7afc13ae03cdfd5aa8,600
Laptop,Retailer 4,yes,2.03,2,UPS,Route 33,65046f7afc13ae03cdfd5aa9,1400
Tablet,Retailer 3,no,1.58,5,FedX,Route 31,65046f7afc13ae03cdfd5aaa,700
Phone,Retailer 6,yes,2.14,1,FedX,Route 36,65046f7afc13ae03cdfd5aab,590
Laptop,Retailer 2,yes,2.39,3,FedX,Route 33,65046f7afc13ae03cdfd5aac,1000
Tablet,Retailer 2,yes,1.38,4,UPS,Route 33,65046f7afc13ae03cdfd5aad,800
Phone,Retailer 5,yes,2.82,1,UPS,Route 31,65046f7afc13ae03cdfd5aae,600
Laptop,Retailer 5,yes,1.21,2,UPS,Route 31,65046f7afc13ae03cdfd5aaf,1000
Tablet,Retailer 2,yes,0.7,5,UPS,Route 34,65046f7afc13ae03cdfd5ab0,800
Phone,Retailer 4,yes,0.79,5,UPS,Route 36,65046f7afc13ae03cdfd5ab1,700
Laptop,Retailer 2,yes,2.48,5,FedX,Route 36,65046f7afc13ae03cdfd5ab2,1000
Tablet,Retailer 1,yes,0.82,4,UPS,Route 33,65046f7afc13ae03cdfd5ab3,800
Phone,Retailer 1,no,0.26,1,UPS,Route 33,65046f7afc13ae03cdfd5ab4,600
Laptop,Retailer 6,yes,1.1,3,UPS,Route 33,65046f7afc13ae03cdfd5ab5,1100
Tablet,Retailer 6,yes,1.23,3,UPS,Route 31,65046f7afc13ae03cdfd5ab6,820
Phone,Retailer 4,yes,1.39,1,FedX,Route 32,65046f7afc13ae03cdfd5ab7,700
Laptop,Retailer 4,yes,1.99,4,UPS,Route 33,65046f7afc13ae03cdfd5ab8,1400
Tablet,Retailer 3,yes,0.94,4,UPS,Route 31,65046f7afc13ae03cdfd5ab9,700
Phone,Retailer 4,yes,0.04,3,FedX,Route 31,65046f7afc13ae03cdfd5aba,700
Laptop,Retailer 1,yes,1.13,2,UPS,Route 32,65046f7afc13ae03cdfd5abb,1070
Tablet,Retailer 3,yes,0.14,2,UPS,Route 35,65046f7afc13ae03cdfd5abc,700
Phone,Retailer 5,yes,2.76,3,UPS,Route 33,65046f7afc13ae03cdfd5abd,600
Laptop,Retailer 4,no,0.08,5,FedX,Route 35,65046f7afc13ae03cdfd5abe,1400
Tablet,Retailer 1,yes,0.17,5,UPS,Route 36,65046f7afc13ae03cdfd5abf,800
Phone,Retailer 5,yes,1.58,5,UPS,Route 31,65046f7afc13ae03cdfd5ac0,600
Laptop,Retailer 4,yes,1.87,2,UPS,Route 36,65046f7afc13ae03cdfd5ac1,1400
Tablet,Retailer 1,yes,2.9,5,UPS,Route 34,65046f7afc13ae03cdfd5ac2,800
Phone,Retailer 5,yes,2.11,1,FedX,Route 33,65046f7afc13ae03cdfd5ac3,600
Laptop,Retailer 6,yes,1.87,3,FedX,Route 35,65046f7afc13ae03cdfd5ac4,1100
Tablet,Retailer 3,yes,1.64,4,FedX,Route 34,65046f7afc13ae03cdfd5ac5,700
Phone,Retailer 5,yes,2.8,5,UPS,Route 35,65046f7afc13ae03cdfd5ac6,600
Laptop,Retailer 3,yes,1.2,3,FedX,Route 33,65046f7afc13ae03cdfd5ac7,1200
Tablet,Retailer 6,yes,0.9,4,UPS,Route 33,65046f7afc13ae03cdfd5ac8,820
Phone,Retailer 5,yes,2.12,5,UPS,Route 33,65046f7afc13ae03cdfd5ac9,600
Laptop,Retailer 4,yes,1.35,2,UPS,Route 34,65046f7afc13ae03cdfd5aca,1400
Tablet,Retailer 6,yes,2.61,1,FedX,Route 32,65046f7afc13ae03cdfd5acb,820
Phone,Retailer 1,no,0.83,1,FedX,Route 31,65046f7afc13ae03cdfd5acc,600
Laptop,Retailer 1,yes,1.9,5,UPS,Route 33,65046f7afc13ae03cdfd5acd,1070
Tablet,Retailer 3,yes,2.23,3,UPS,Route 31,65046f7afc13ae03cdfd5ace,700
Phone,Retailer 1,no,0.01,2,FedX,Route 31,65046f7afc13ae03cdfd5acf,600
Laptop,Retailer 6,yes,2.35,3,UPS,Route 33,65046f7afc13ae03cdfd5ad0,1100
Tablet,Retailer 3,yes,1.57,4,FedX,Route 36,65046f7afc13ae03cdfd5ad1,700
Phone,Retailer 1,yes,0.37,4,FedX,Route 35,65046f7afc13ae03cdfd5ad2,600
Laptop,Retailer 6,yes,0.33,4,FedX,Route 34,65046f7afc13ae03cdfd5ad3,1100
Tablet,Retailer 1,yes,0.2,1,FedX,Route 34,65046f7afc13ae03cdfd5ad4,800
Phone,Retailer 5,yes,1.87,2,UPS,Route 33,65046f7afc13ae03cdfd5ad5,600
Laptop,Retailer 4,yes,1.03,3,FedX,Route 32,65046f7afc13ae03cdfd5ad6,1400
Tablet,Retailer 3,yes,0.49,5,UPS,Route 31,65046f7afc13ae03cdfd5ad7,700
Phone,Retailer 5,yes,0.6,1,UPS,Route 31,65046f7afc13ae03cdfd5ad8,600
Laptop,Retailer 6,no,1.21,2,UPS,Route 36,65046f7afc13ae03cdfd5ad9,1100
Tablet,Retailer 2,no,1.68,4,FedX,Route 32,65046f7afc13ae03cdfd5ada,800
Phone,Retailer 4,yes,1.24,2,UPS,Route 32,65046f7afc13ae03cdfd5adb,700
Laptop,Retailer 1,yes,1.37,4,FedX,Route 32,65046f7afc13ae03cdfd5adc,1070
Tablet,Retailer 1,yes,1.09,4,UPS,Route 32,65046f7afc13ae03cdfd5add,800
Phone,Retailer 4,yes,1.52,2,UPS,Route 32,65046f7afc13ae03cdfd5ade,700
Laptop,Retailer 5,yes,2.99,2,UPS,Route 32,65046f7afc13ae03cdfd5adf,1000
Tablet,Retailer 4,yes,2.09,5,UPS,Route 34,65046f7afc13ae03cdfd5ae0,1000
Phone,Retailer 1,yes,1.95,2,FedX,Route 33,65046f7afc13ae03cdfd5ae1,600
Laptop,Retailer 5,yes,1.68,4,FedX,Route 34,65046f7afc13ae03cdfd5ae2,1000
Tablet,Retailer 3,yes,0.42,1,UPS,Route 32,65046f7afc13ae03cdfd5ae3,700
Phone,Retailer 3,yes,1.65,3,UPS,Route 33,65046f7afc13ae03cdfd5ae4,650
Laptop,Retailer 1,yes,0.24,1,UPS,Route 36,65046f7afc13ae03cdfd5ae5,1070
Tablet,Retailer 5,yes,2.82,3,FedX,Route 31,65046f7afc13ae03cdfd5ae6,650
Phone,Retailer 6,yes,0.68,5,FedX,Route 36,65046f7afc13ae03cdfd5ae7,590
Laptop,Retailer 4,yes,0.19,2,UPS,Route 31,65046f7afc13ae03cdfd5ae8,1400
Tablet,Retailer 6,yes,2.67,3,UPS,Route 32,65046f7afc13ae03cdfd5ae9,820
Phone,Retailer 3,yes,1.75,2,FedX,Route 34,65046f7afc13ae03cdfd5aea,650
Laptop,Retailer 4,yes,1.64,3,UPS,Route 36,65046f7afc13ae03cdfd5aeb,1400
Tablet,Retailer 3,yes,0.69,2,UPS,Route 31,65046f7afc13ae03cdfd5aec,700
Phone,Retailer 2,yes,2.42,5,FedX,Route 33,65046f7afc13ae03cdfd5aed,620
Laptop,Retailer 1,yes,2.24,5,UPS,Route 31,65046f7afc13ae03cdfd5aee,1070
Tablet,Retailer 2,yes,2.13,1,FedX,Route 31,65046f7afc13ae03cdfd5aef,800
Phone,Retailer 4,yes,2.53,5,UPS,Route 33,65046f7afc13ae03cdfd5af0,700
Laptop,Retailer 3,yes,1.51,5,FedX,Route 31,65046f7afc13ae03cdfd5af1,1200
Tablet,Retailer 6,yes,2.02,2,FedX,Route 33,65046f7afc13ae03cdfd5af2,820
Phone,Retailer 4,yes,0.23,5,UPS,Route 36,65046f7afc13ae03cdfd5af3,700
Laptop,Retailer 5,yes,1.84,2,FedX,Route 31,65046f7afc13ae03cdfd5af4,1000
Tablet,Retailer 5,yes,2.97,5,UPS,Route 34,65046f7afc13ae03cdfd5af5,650
Phone,Retailer 3,yes,2.98,5,UPS,Route 33,65046f7afc13ae03cdfd5af6,650
Laptop,Retailer 4,yes,1.24,4,UPS,Route 35,65046f7afc13ae03cdfd5af7,1400
Tablet,Retailer 5,no,0.45,1,FedX,Route 35,65046f7afc13ae03cdfd5af8,650
Phone,Retailer 5,yes,0.91,1,UPS,Route 31,65046f7afc13ae03cdfd5af9,600
Laptop,Retailer 5,yes,0.28,4,UPS,Route 32,65046f7afc13ae03cdfd5afa,1000
Tablet,Retailer 5,yes,0.59,1,UPS,Route 31,65046f7afc13ae03cdfd5afb,650
Phone,Retailer 1,yes,0.07,5,UPS,Route 32,65046f7afc13ae03cdfd5afc,600
Laptop,Retailer 1,yes,2.13,1,FedX,Route 31,65046f7afc13ae03cdfd5afd,1070
Tablet,Retailer 5,yes,2.82,5,FedX,Route 31,65046f7afc13ae03cdfd5afe,650
Phone,Retailer 2,yes,0.59,1,UPS,Route 33,65046f7afc13ae03cdfd5aff,620
Laptop,Retailer 5,yes,1.29,3,FedX,Route 33,65046f7afc13ae03cdfd5b00,1000
Tablet,Retailer 1,yes,1.78,4,UPS,Route 35,65046f7afc13ae03cdfd5b01,800
Phone,Retailer 2,yes,0.18,3,UPS,Route 33,65046f7afc13ae03cdfd5b02,620
Laptop,Retailer 3,yes,2.81,5,FedX,Route 32,65046f7afc13ae03cdfd5b03,1200
Tablet,Retailer 6,yes,0.52,3,FedX,Route 32,65046f7afc13ae03cdfd5b04,820
Phone,Retailer 4,yes,2.09,2,FedX,Route 31,65046f7afc13ae03cdfd5b05,700
Laptop,Retailer 2,yes,2.1,5,FedX,Route 34,65046f7afc13ae03cdfd5b06,1000
Tablet,Retailer 3,yes,2.59,1,FedX,Route 33,65046f7afc13ae03cdfd5b07,700
Phone,Retailer 6,yes,0.78,5,UPS,Route 32,65046f7afc13ae03cdfd5b08,590
Laptop,Retailer 5,yes,2.73,3,FedX,Route 32,65046f7afc13ae03cdfd5b09,1000
Tablet,Retailer 4,yes,2.71,3,UPS,Route 31,65046f7afc13ae03cdfd5b0a,1000
Phone,Retailer 3,yes,1.4,1,UPS,Route 35,65046f7afc13ae03cdfd5b0b,650
Laptop,Retailer 4,yes,0.97,2,UPS,Route 35,65046f7afc13ae03cdfd5b0c,1400
Tablet,Retailer 6,yes,1.24,1,FedX,Route 31,65046f7afc13ae03cdfd5b0d,820
Phone,Retailer 1,yes,2.71,4,UPS,Route 36,65046f7afc13ae03cdfd5b0e,600
Laptop,Retailer 2,yes,1.6,1,UPS,Route 36,65046f7afc13ae03cdfd5b0f,1000
Tablet,Retailer 6,yes,2.69,4,UPS,Route 31,65046f7afc13ae03cdfd5b10,820
Phone,Retailer 6,yes,1.5,3,FedX,Route 32,65046f7afc13ae03cdfd5b11,590
Laptop,Retailer 4,yes,0.43,4,UPS,Route 34,65046f7afc13ae03cdfd5b12,1400
Tablet,Retailer 3,yes,1.79,5,FedX,Route 31,65046f7afc13ae03cdfd5b13,700
Phone,Retailer 3,yes,2.98,4,UPS,Route 36,65046f7afc13ae03cdfd5b14,650
Laptop,Retailer 5,yes,1.83,2,UPS,Route 35,65046f7afc13ae03cdfd5b15,1000
Tablet,Retailer 4,yes,1.36,2,FedX,Route 36,65046f7afc13ae03cdfd5b16,1000
Phone,Retailer 4,yes,1.26,4,UPS,Route 35,65046f7afc13ae03cdfd5b17,700
Laptop,Retailer 3,yes,2.57,1,FedX,Route 35,65046f7afc13ae03cdfd5b18,1200
Tablet,Retailer 6,yes,1.45,1,FedX,Route 36,65046f7afc13ae03cdfd5b19,820
Phone,Retailer 5,yes,0.95,2,FedX,Route 31,65046f7afc13ae03cdfd5b1a,600
Laptop,Retailer 2,yes,2.28,3,UPS,Route 34,65046f7afc13ae03cdfd5b1b,1000
Tablet,Retailer 2,yes,1.78,5,FedX,Route 34,65046f7afc13ae03cdfd5b1c,800
Phone,Retailer 6,yes,0.14,1,UPS,Route 33,65046f7afc13ae03cdfd5b1d,590
Laptop,Retailer 3,yes,1.82,2,UPS,Route 36,65046f7afc13ae03cdfd5b1e,1200
Tablet,Retailer 4,yes,0.69,4,UPS,Route 34,65046f7afc13ae03cdfd5b1f,1000
Phone,Retailer 5,yes,2.27,3,FedX,Route 32,65046f7afc13ae03cdfd5b20,600
Laptop,Retailer 6,yes,1.96,1,FedX,Route 33,65046f7afc13ae03cdfd5b21,1100
Tablet,Retailer 4,yes,1.16,5,FedX,Route 33,65046f7afc13ae03cdfd5b22,1000
Phone,Retailer 6,yes,0.44,2,UPS,Route 36,65046f7afc13ae03cdfd5b23,590
Laptop,Retailer 6,yes,2.91,2,FedX,Route 31,65046f7afc13ae03cdfd5b24,1100
Tablet,Retailer 6,yes,1.71,1,FedX,Route 35,65046f7afc13ae03cdfd5b25,820
Phone,Retailer 4,yes,2.68,5,UPS,Route 36,65046f7afc13ae03cdfd5b26,700
Laptop,Retailer 1,yes,1.37,3,UPS,Route 33,65046f7afc13ae03cdfd5b27,1070
Tablet,Retailer 5,yes,1.48,5,FedX,Route 36,65046f7afc13ae03cdfd5b28,650
Phone,Retailer 5,yes,1.47,3,UPS,Route 33,65046f7afc13ae03cdfd5b29,600
Laptop,Retailer 4,yes,1.52,4,UPS,Route 32,65046f7afc13ae03cdfd5b2a,1400
Tablet,Retailer 3,yes,2.27,4,UPS,Route 35,65046f7afc13ae03cdfd5b2b,700
Phone,Retailer 6,yes,2.67,2,UPS,Route 34,65046f7afc13ae03cdfd5b2c,590
Laptop,Retailer 6,yes,1.83,4,FedX,Route 35,65046f7afc13ae03cdfd5b2d,1100
Tablet,Retailer 6,yes,2.88,3,FedX,Route 31,65046f7afc13ae03cdfd5b2e,820
Phone,Retailer 1,yes,2.4,2,UPS,Route 31,65046f7afc13ae03cdfd5b2f,600
Laptop,Retailer 2,yes,1.67,3,FedX,Route 36,65046f7afc13ae03cdfd5b30,1000
Tablet,Retailer 4,yes,1.64,4,UPS,Route 34,65046f7afc13ae03cdfd5b31,1000
Phone,Retailer 6,no,2.12,3,UPS,Route 33,65046f7afc13ae03cdfd5b32,590
Laptop,Retailer 1,yes,2.08,1,UPS,Route 36,65046f7afc13ae03cdfd5b33,1070
Tablet,Retailer 4,yes,1.62,1,FedX,Route 34,65046f7afc13ae03cdfd5b34,1000
Phone,Retailer 6,yes,2.23,3,FedX,Route 36,65046f7afc13ae03cdfd5b35,590
Laptop,Retailer 5,yes,1.4,2,FedX,Route 34,65046f7afc13ae03cdfd5b36,1000
Tablet,Retailer 6,no,0.13,1,UPS,Route 35,65046f7afc13ae03cdfd5b37,820
Phone,Retailer 5,yes,2.07,5,FedX,Route 35,65046f7afc13ae03cdfd5b38,600
Laptop,Retailer 6,yes,0.03,4,UPS,Route 36,65046f7afc13ae03cdfd5b39,1100
Tablet,Retailer 1,yes,0.25,2,UPS,Route 32,65046f7afc13ae03cdfd5b3a,800
Phone,Retailer 4,yes,2.0,1,FedX,Route 34,65046f7afc13ae03cdfd5b3b,700
Laptop,Retailer 2,yes,1.45,3,UPS,Route 35,65046f7afc13ae03cdfd5b3c,1000
Tablet,Retailer 6,yes,2.27,1,FedX,Route 31,65046f7afc13ae03cdfd5b3d,820
Phone,Retailer 4,yes,2.7,4,UPS,Route 31,65046f7afc13ae03cdfd5b3e,700
Laptop,Retailer 2,yes,2.72,3,UPS,Route 36,65046f7afc13ae03cdfd5b3f,1000
Tablet,Retailer 4,yes,1.85,3,UPS,Route 32,65046f7afc13ae03cdfd5b40,1000
Phone,Retailer 6,yes,0.92,5,UPS,Route 36,65046f7afc13ae03cdfd5b41,590
Laptop,Retailer 5,yes,2.54,1,FedX,Route 32,65046f7afc13ae03cdfd5b42,1000
Tablet,Retailer 4,yes,2.19,4,FedX,Route 34,65046f7afc13ae03cdfd5b43,1000
Phone,Retailer 2,yes,2.56,2,UPS,Route 33,65046f7afc13ae03cdfd5b44,620
Laptop,Retailer 4,yes,1.12,4,UPS,Route 33,65046f7afc13ae03cdfd5b45,1400
Tablet,Retailer 2,yes,0.12,1,UPS,Route 32,65046f7afc13ae03cdfd5b46,800
Phone,Retailer 6,yes,1.87,3,FedX,Route 36,65046f7afc13ae03cdfd5b47,590
Laptop,Retailer 4,yes,2.15,1,UPS,Route 34,65046f7afc13ae03cdfd5b48,1400
Tablet,Retailer 5,yes,0.34,4,UPS,Route 36,65046f7afc13ae03cdfd5b49,650
Phone,Retailer 5,yes,1.12,5,UPS,Route 32,65046f7afc13ae03cdfd5b4a,600
Laptop,Retailer 3,yes,2.43,2,FedX,Route 31,65046f7afc13ae03cdfd5b4b,1200
Tablet,Retailer 4,yes,1.38,4,FedX,Route 31,65046f7afc13ae03cdfd5b4c,1000
Phone,Retailer 3,yes,0.37,4,FedX,Route 32,65046f7afc13ae03cdfd5b4d,650
Laptop,Retailer 5,yes,1.92,4,FedX,Route 34,65046f7afc13ae03cdfd5b4e,1000
Tablet,Retailer 2,yes,1.89,3,FedX,Route 35,65046f7afc13ae03cdfd5b4f,800
Phone,Retailer 3,yes,1.95,2,FedX,Route 33,65046f7afc13ae03cdfd5b50,650
Laptop,Retailer 1,yes,0.75,2,FedX,Route 36,65046f7afc13ae03cdfd5b51,1070
Tablet,Retailer 4,yes,0.07,4,UPS,Route 36,65046f7afc13ae03cdfd5b52,1000
Phone,Retailer 5,yes,2.24,2,UPS,Route 36,65046f7afc13ae03cdfd5b53,600
Laptop,Retailer 5,yes,0.86,2,FedX,Route 31,65046f7afc13ae03cdfd5b54,1000
Tablet,Retailer 2,yes,1.76,4,UPS,Route 34,65046f7afc13ae03cdfd5b55,800
Phone,Retailer 5,yes,1.32,2,FedX,Route 34,65046f7afc13ae03cdfd5b56,600
Laptop,Retailer 3,yes,2.69,1,FedX,Route 31,65046f7afc13ae03cdfd5b57,1200
Tablet,Retailer 1,yes,0.72,2,UPS,Route 31,65046f7afc13ae03cdfd5b58,800
Phone,Retailer 1,yes,1.56,4,FedX,Route 31,65046f7afc13ae03cdfd5b59,600
Laptop,Retailer 6,yes,1.4,4,FedX,Route 36,65046f7afc13ae03cdfd5b5a,1100
Tablet,Retailer 3,yes,1.92,5,UPS,Route 35,65046f7afc13ae03cdfd5b5b,700
Phone,Retailer 1,yes,1.97,5,UPS,Route 35,65046f7afc13ae03cdfd5b5c,600
Laptop,Retailer 4,yes,2.57,1,FedX,Route 35,65046f7afc13ae03cdfd5b5d,1400
Tablet,Retailer 1,yes,0.66,3,FedX,Route 36,65046f7afc13ae03cdfd5b5e,800
Phone,Retailer 1,yes,0.87,2,FedX,Route 31,65046f7afc13ae03cdfd5b5f,600
Laptop,Retailer 1,yes,1.92,1,FedX,Route 33,65046f7afc13ae03cdfd5b60,1070
Tablet,Retailer 5,yes,0.58,1,FedX,Route 35,65046f7afc13ae03cdfd5b61,650
Phone,Retailer 4,yes,2.94,5,UPS,Route 32,65046f7afc13ae03cdfd5b62,700
Laptop,Retailer 6,yes,1.11,5,FedX,Route 34,65046f7afc13ae03cdfd5b63,1100
Tablet,Retailer 1,no,1.1,4,FedX,Route 35,65046f7afc13ae03cdfd5b64,800
Phone,Retailer 1,yes,2.15,2,FedX,Route 34,65046f7afc13ae03cdfd5b65,600
Laptop,Retailer 6,yes,2.5,3,FedX,Route 34,65046f7afc13ae03cdfd5b66,1100
Tablet,Retailer 3,yes,1.99,2,UPS,Route 33,65046f7afc13ae03cdfd5b67,700
Phone,Retailer 4,yes,0.2,5,FedX,Route 31,65046f7afc13ae03cdfd5b68,700
Laptop,Retailer 3,yes,1.15,5,FedX,Route 36,65046f7afc13ae03cdfd5b69,1200
Tablet,Retailer 5,yes,2.84,2,FedX,Route 33,65046f7afc13ae03cdfd5b6a,650
Phone,Retailer 1,yes,2.72,4,UPS,Route 35,65046f7afc13ae03cdfd5b6b,600
